species,longitude,latitude
Cynomys mexicanus,-100.719998,25.236821
Cynomys mexicanus,-100.852754,24.987427
Cynomys mexicanus,-100.603359,24.713134
Cynomys mexicanus,-100.873105,24.978613
Cynomys mexicanus,-101.079616,25.117543
Cynomys mexicanus,-101.063371,24.976449
Cynomys mexicanus,-100.801392,25.078899
Cynomys mexicanus,-100.871599,24.938683
Cynomys mexicanus,-100.613077,24.764559
Cynomys mexicanus,-101.078521,25.117884
Cynomys mexicanus,-100.784507,25.061624
Cynomys mexicanus,-100.383662,24.466333
Cynomys mexicanus,-100.979416,25.046334
Cynomys mexicanus,-100.577939,25.022016
Cynomys mexicanus,-101.000787,25.051573
Cynomys mexicanus,-101.019876,25.061994
Cynomys mexicanus,-100.649287,24.790637
Cynomys mexicanus,-100.745478,24.887831
Cynomys mexicanus,-101.207884,25.015293
Cynomys mexicanus,-101.050465,24.811036
Cynomys mexicanus,-100.762048,24.422134
Cynomys mexicanus,-100.581548,25.021427
Cynomys mexicanus,-100.715197,25.040475
Cynomys mexicanus,-101.084279,24.976527
Cynomys mexicanus,-100.65633,24.752701
Cynomys mexicanus,-101.179767,25.020781
Cynomys mexicanus,-100.853791,24.985906
Cynomys mexicanus,-100.839387,24.902502
Cynomys mexicanus,-100.474852,24.932367
Cynomys mexicanus,-100.805293,24.302317
Cynomys mexicanus,-100.739615,25.059386
Cynomys mexicanus,-100.712532,24.997729
Cynomys mexicanus,-100.764024,24.898309
Cynomys mexicanus,-100.696457,24.800294
Cynomys mexicanus,-100.690149,25.062548
Cynomys mexicanus,-100.376065,24.446373
Cynomys mexicanus,-101.186674,25.019208
Cynomys mexicanus,-100.723665,24.848043
Cynomys mexicanus,-100.615469,24.766972
Cynomys mexicanus,-100.586598,25.022691
Cynomys mexicanus,-101.069511,24.958119
Cynomys mexicanus,-101.080879,25.114276
Cynomys mexicanus,-100.715962,24.813272
Cynomys mexicanus,-100.695692,24.992794
Cynomys mexicanus,-100.792825,24.303991
Cynomys mexicanus,-100.76499,25.078858
Cynomys mexicanus,-100.736853,25.069439
Cynomys mexicanus,-100.386093,24.449569
Cynomys mexicanus,-100.671717,25.185968
Cynomys mexicanus,-100.909344,24.750476
Cynomys mexicanus,-101.104772,24.969703
Cynomys mexicanus,-100.37527,24.443031
Cynomys mexicanus,-100.863138,24.944251
Cynomys mexicanus,-100.712902,24.810093
Cynomys mexicanus,-100.811839,25.080821
Cynomys mexicanus,-100.299707,25.095266
Cynomys mexicanus,-100.734385,24.886633
Cynomys mexicanus,-100.762361,24.416289
Cynomys mexicanus,-100.778299,25.056544
Cynomys mexicanus,-100.678048,25.180958
Cynomys mexicanus,-100.743479,25.042484
Cynomys mexicanus,-100.752411,25.056608
Cynomys mexicanus,-101.06764,24.975911
Cynomys mexicanus,-100.805469,24.303579
Cynomys mexicanus,-100.85019,24.984922
Cynomys mexicanus,-100.61369,24.755415
Cynomys mexicanus,-100.88183,24.707154
Cynomys mexicanus,-101.084937,25.102177
Cynomys mexicanus,-100.980823,25.066646
Cynomys mexicanus,-100.914439,24.997289
Cynomys mexicanus,-100.314495,25.096526
Cynomys mexicanus,-100.972392,25.063201
Cynomys mexicanus,-100.615184,25.077747
Cynomys mexicanus,-100.80255,25.074741
Cynomys mexicanus,-101.256652,25.045612
Cynomys mexicanus,-100.578364,25.047472
Cynomys mexicanus,-101.061635,24.812454
